index,state,conditions,purview,mechanism
1,10000,ABCDE,ABCDE,ABCDE
2,10000,ABCDE,ABCDE,ABCD
3,10000,ABCDE,ABCDE,BCDE
4,10000,ABCDE,ABCDE,BCD
5,10000,ABCDE,ABCDE,ACE
6,10000,ABCDE,ABCDE,BD
7,10000,ABCDE,ABCDE,ABDE
8,10000,ABCDE,ABCD,ABCDE
9,10000,ABCDE,ABCD,ABCD
10,10000,ABCDE,ABCD,BCDE
11,10000,ABCDE,ABCD,BCD
12,10000,ABCDE,ABCD,ACE
13,10000,ABCDE,ABCD,BD
14,10000,ABCDE,ABCD,ABDE
15,10000,ABCDE,BCDE,ABCDE
16,10000,ABCDE,BCDE,ABCD
17,10000,ABCDE,BCDE,BCDE
18,10000,ABCDE,BCDE,BCD
19,10000,ABCDE,BCDE,ACE
20,10000,ABCDE,BCDE,BD
21,10000,ABCDE,BCDE,ABDE
22,10000,ABCDE,BCD,ABCDE
23,10000,ABCDE,BCD,ABCD
24,10000,ABCDE,BCD,BCDE
25,10000,ABCDE,BCD,BCD
26,10000,ABCDE,BCD,ACE
27,10000,ABCDE,BCD,BD
28,10000,ABCDE,BCD,ABDE
29,10000,ABCDE,ACE,ABCDE
30,10000,ABCDE,ACE,ABCD
31,10000,ABCDE,ACE,BCDE
32,10000,ABCDE,ACE,BCD
33,10000,ABCDE,ACE,ACE
34,10000,ABCDE,ACE,BD
35,10000,ABCDE,ACE,ABDE
36,10000,ABCDE,BD,ABCDE
37,10000,ABCDE,BD,ABCD
38,10000,ABCDE,BD,BCDE
39,10000,ABCDE,BD,BCD
40,10000,ABCDE,BD,ACE
41,10000,ABCDE,BD,BD
42,10000,ABCDE,BD,ABDE
43,10000,ABCDE,ABDE,ABCDE
44,10000,ABCDE,ABDE,ABCD
45,10000,ABCDE,ABDE,BCDE
46,10000,ABCDE,ABDE,BCD
47,10000,ABCDE,ABDE,ACE
48,10000,ABCDE,ABDE,BD
49,10000,ABCDE,ABDE,ABDE
