index,state,conditions,purview,mechanism
1,1000000000,ABCDEFGHIJ,ABCDEFGHIJ,ABCDEFGHIJ
2,1000000000,ABCDEFGHIJ,ABCDEFGHIJ,ABCDEFGHI
3,1000000000,ABCDEFGHIJ,ABCDEFGHIJ,BCDEFGHIJ
4,1000000000,ABCDEFGHIJ,ABCDEFGHIJ,BCDEFGHI
5,1000000000,ABCDEFGHIJ,ABCDEFGHIJ,ACEGI
6,1000000000,ABCDEFGHIJ,ABCDEFGHIJ,BDFHJ
7,1000000000,ABCDEFGHIJ,ABCDEFGHIJ,ABDEGHJ
8,1000000000,ABCDEFGHIJ,ABCDEFGHI,ABCDEFGHIJ
9,1000000000,ABCDEFGHIJ,ABCDEFGHI,ABCDEFGHI
10,1000000000,ABCDEFGHIJ,ABCDEFGHI,BCDEFGHIJ
11,1000000000,ABCDEFGHIJ,ABCDEFGHI,BCDEFGHI
12,1000000000,ABCDEFGHIJ,ABCDEFGHI,ACEGI
13,1000000000,ABCDEFGHIJ,ABCDEFGHI,BDFHJ
14,1000000000,ABCDEFGHIJ,ABCDEFGHI,ABDEGHJ
15,1000000000,ABCDEFGHIJ,BCDEFGHIJ,ABCDEFGHIJ
16,1000000000,ABCDEFGHIJ,BCDEFGHIJ,ABCDEFGHI
17,1000000000,ABCDEFGHIJ,BCDEFGHIJ,BCDEFGHIJ
18,1000000000,ABCDEFGHIJ,BCDEFGHIJ,BCDEFGHI
19,1000000000,ABCDEFGHIJ,BCDEFGHIJ,ACEGI
20,1000000000,ABCDEFGHIJ,BCDEFGHIJ,BDFHJ
21,1000000000,ABCDEFGHIJ,BCDEFGHIJ,ABDEGHJ
22,1000000000,ABCDEFGHIJ,BCDEFGHI,ABCDEFGHIJ
23,1000000000,ABCDEFGHIJ,BCDEFGHI,ABCDEFGHI
24,1000000000,ABCDEFGHIJ,BCDEFGHI,BCDEFGHIJ
25,1000000000,ABCDEFGHIJ,BCDEFGHI,BCDEFGHI
26,1000000000,ABCDEFGHIJ,BCDEFGHI,ACEGI
27,1000000000,ABCDEFGHIJ,BCDEFGHI,BDFHJ
28,1000000000,ABCDEFGHIJ,BCDEFGHI,ABDEGHJ
29,1000000000,ABCDEFGHIJ,ACEGI,ABCDEFGHIJ
30,1000000000,ABCDEFGHIJ,ACEGI,ABCDEFGHI
31,1000000000,ABCDEFGHIJ,ACEGI,BCDEFGHIJ
32,1000000000,ABCDEFGHIJ,ACEGI,BCDEFGHI
33,1000000000,ABCDEFGHIJ,ACEGI,ACEGI
34,1000000000,ABCDEFGHIJ,ACEGI,BDFHJ
35,1000000000,ABCDEFGHIJ,ACEGI,ABDEGHJ
36,1000000000,ABCDEFGHIJ,BDFHJ,ABCDEFGHIJ
37,1000000000,ABCDEFGHIJ,BDFHJ,ABCDEFGHI
38,1000000000,ABCDEFGHIJ,BDFHJ,BCDEFGHIJ
39,1000000000,ABCDEFGHIJ,BDFHJ,BCDEFGHI
40,1000000000,ABCDEFGHIJ,BDFHJ,ACEGI
41,1000000000,ABCDEFGHIJ,BDFHJ,BDFHJ
42,1000000000,ABCDEFGHIJ,BDFHJ,ABDEGHJ
43,1000000000,ABCDEFGHIJ,ABDEGHJ,ABCDEFGHIJ
44,1000000000,ABCDEFGHIJ,ABDEGHJ,ABCDEFGHI
45,1000000000,ABCDEFGHIJ,ABDEGHJ,BCDEFGHIJ
46,1000000000,ABCDEFGHIJ,ABDEGHJ,BCDEFGHI
47,1000000000,ABCDEFGHIJ,ABDEGHJ,ACEGI
48,1000000000,ABCDEFGHIJ,ABDEGHJ,BDFHJ
49,1000000000,ABCDEFGHIJ,ABDEGHJ,ABDEGHJ
