index,state,conditions,purview,mechanism
1,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRST
2,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRS
3,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRST
4,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRS
5,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRST,ACEGIKMOQS
6,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRST,BDFHJLNPRT
7,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRST,ABDEGHJKMNPQST
8,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRS,ABCDEFGHIJKLMNOPQRST
9,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRS,ABCDEFGHIJKLMNOPQRS
10,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRS,BCDEFGHIJKLMNOPQRST
11,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRS,BCDEFGHIJKLMNOPQRS
12,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRS,ACEGIKMOQS
13,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRS,BDFHJLNPRT
14,10000000000000000000,ABCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRS,ABDEGHJKMNPQST
15,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRST
16,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRST,ABCDEFGHIJKLMNOPQRS
17,10000000000000000000,ABCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRST,BCDEFGHIJKLMNOPQRST
